modo,ttf,censura
pronostia_all,7.783333333333333,0
pronostia_all,2.4166666666666665,0
pronostia_all,6.594444444444444,0
pronostia_all,3.963888888888889,0
pronostia_all,6.838888888888889,0
pronostia_all,6.7972222222222225,0
pronostia_all,6.272222222222222,0
pronostia_all,2.5277777777777777,0
pronostia_all,2.2111111111111112,0
pronostia_all,5.427777777777778,0
pronostia_all,2.0833333333333335,0
pronostia_all,6.416666666666667,0
pronostia_all,1.9444444444444444,0
pronostia_all,0.6361111111111111,0
pronostia_all,1.4277777777777778,0
pronostia_all,4.544444444444444,0
pronostia_all,1.2027777777777777,0
