rolamento,condicao,snapshot,tempo_horas,rms
Bearing1_1,1,0,0.0,0.5577896289576031
Bearing1_1,1,1,0.002777777777777778,0.5268432778672002
Bearing1_1,1,2,0.005555555555555556,0.5319528395636546
Bearing1_1,1,3,0.008333333333333333,0.5540909265512178
Bearing1_1,1,4,0.011111111111111112,0.5518568096157649
Bearing1_1,1,5,0.013888888888888888,0.5369257493266433
Bearing1_1,1,6,0.016666666666666666,0.5288372661948829
Bearing1_1,1,7,0.019444444444444445,0.5376710373290811
Bearing1_1,1,8,0.022222222222222223,0.5534312435100629
Bearing1_1,1,9,0.025,0.5303775168377338
Bearing1_1,1,10,0.027777777777777776,0.5359181441140349
Bearing1_1,1,11,0.030555555555555555,0.5209254985835547
Bearing1_1,1,12,0.03333333333333333,0.5488503666535285
Bearing1_1,1,13,0.03611111111111111,0.5428022709973859
Bearing1_1,1,14,0.03888888888888889,0.5396361107172131
Bearing1_1,1,15,0.041666666666666664,0.5167441406075133
Bearing1_1,1,16,0.044444444444444446,0.5307579191686463
Bearing1_1,1,17,0.04722222222222222,0.5056464138100891
Bearing1_1,1,18,0.05,0.5293701544841022
Bearing1_1,1,19,0.05277777777777778,0.5383371039149641
Bearing1_1,1,20,0.05555555555555555,0.483738456456997
Bearing1_1,1,21,0.058333333333333334,0.5660668600831406
Bearing1_1,1,22,0.06111111111111111,0.5473142375738701
Bearing1_1,1,23,0.06388888888888888,0.5103544567014474
Bearing1_1,1,24,0.06666666666666667,0.6127283881499621
Bearing1_1,1,25,0.06944444444444445,0.5479539315437774
Bearing1_1,1,26,0.07222222222222222,0.5833629246529364
Bearing1_1,1,27,0.075,0.5978259145173063
Bearing1_1,1,28,0.07777777777777778,0.5763840994021999
Bearing1_1,1,29,0.08055555555555556,0.6082760562966962
Bearing1_1,1,30,0.08333333333333333,0.6191702634832423
Bearing1_1,1,31,0.08611111111111111,0.5926816076181847
Bearing1_1,1,32,0.08888888888888889,0.5672237157333062
Bearing1_1,1,33,0.09166666666666666,0.6078491575382574
Bearing1_1,1,34,0.09444444444444444,0.5494070740853094
Bearing1_1,1,35,0.09722222222222222,0.5603712542295519
Bearing1_1,1,36,0.1,0.5656783524039429
Bearing1_1,1,37,0.10277777777777777,0.5657549187315665
Bearing1_1,1,38,0.10555555555555556,0.5574089149662984
Bearing1_1,1,39,0.10833333333333334,0.5500650817809762
Bearing1_1,1,40,0.1111111111111111,0.6016892702190482
Bearing1_1,1,41,0.11388888888888889,0.5558800985499268
Bearing1_1,1,42,0.11666666666666667,0.5923518914783803
Bearing1_1,1,43,0.11944444444444445,0.5784688598054377
Bearing1_1,1,44,0.12222222222222222,0.5383965918608413
Bearing1_1,1,45,0.125,0.5890776198533111
